"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Bansal A.; Gupta A.; Khirwar I.; Garg P.","Bansal, Aryan (59421001500); Gupta, Akash (57195514957); Khirwar, Isha (36699827300); Garg, Parul (35611464600)","59421001500; 57195514957; 36699827300; 35611464600","On the Performance of Multilayer-Multihop UAV-Assisted Non-Terrestrial/Terrestrial Network","2026","IEEE Wireless Communications Letters","15","","","405","409","0","10.1109/LWC.2025.3627213","https://www.scopus.com/pages/publications/105020700889?origin=resultslist","In this letter, we present a sub-Terahertz-based multihop (MH) - multilayer (ML) non-terrestrial network (NTN) over a Multi-Cluster Fluctuating Two-Ray fading channel. The proposed system features a communication network comprising of multi-layered NTN identities deployed to facilitate connectivity to a remotely located ground-based station and a floating vessel. The performance of the proposed system is evaluated in terms of outage probability and average bit-error rate for various fading and shadowing conditions. The mathematical framework is validated by using extensive Monte-Carlo simulations. Further, the results are analyzed for multiple combinations of channel parameters to provide better insights into the proposed system. The asymptotic results for the outage probability and average bit-error rate are also provided, validating the system’s performance in the high SNR regime. © 2012 IEEE.","Bit error rate; Codes (symbols); Error statistics; Fading channels; Mobile telecommunication systems; Monte Carlo methods; Multilayers; Network layers; Optical communication; Outages; Signal to noise ratio; Telecommunication services; Average bit-error rate; Average bit-error rates; Fading models; Multi-cluster fluctuating two-ray  fading model; Multi-layer network; Multihop networks; Outage probability; Performance; Terrestrial networks; Intelligent systems","Article","Final","","Scopus","2-s2.0-105020700889"
"Han Z.; Zhou T.; Xu T.; Ouyang Y.; Chen X.; Chen T.; Hu H.","Han, Zihao (58486335700); Zhou, Ting (36811012900); Xu, Tianheng (56072331500); Ouyang, Yuling (57223892435); Chen, Xianfu (55822933300); Chen, Tao (56431571600); Hu, Honglin (57193215289)","58486335700; 36811012900; 56072331500; 57223892435; 55822933300; 56431571600; 57193215289","Delay minimization in NTNs: Deployment and caching optimization for satellite- and cache-aided UAV","2025","Computer Networks","264","","111257","","","1","10.1016/j.comnet.2025.111257","https://www.scopus.com/pages/publications/105002578407?origin=resultslist","This paper explores satellite- and cache-aided UAV communications for content delivery in non-terrestrial networks, demonstrating significant potential to offer widespread connectivity and high capacity. Specifically, the UAV provides caching to alleviate backhaul congestion, while the satellite supports the UAV's backhaul link. A problem is formulated to minimize content transmission delay. To address this problem, we design a user clustering and UAV deployment method based on an improved K-means algorithm, which determines the minimum number of UAVs and their deployment locations while ensuring QoS of users. Then, using linear programming relaxation and interior point methods, we obtain the optimal cache placement strategy. Simulations analyze the effects of Zipf parameter, backhaul bandwidth, and UAV altitude on system performance. The results and analysis can provide guidance for real-world network deployment. © 2025 Elsevier B.V.","K-means clustering; Linear programming; Satellite communication systems; Backhaul links; Caching; Contents deliveries; Delay minimization; High capacity; High-capacity; NTN; Optimisations; Terrestrial networks; UAV deployment; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-105002578407"
"Park S.; Kim J.; Lee J.; Park H.; Chang J.; Choi S.","Park, Soyeon (59345706400); Kim, Jaewoo (57204428945); Lee, Jongman (59097906000); Park, Hyun (57219601330); Chang, Jinyeong (60301361800); Choi, Suhan (7408121490)","59345706400; 57204428945; 59097906000; 57219601330; 60301361800; 7408121490","An Overview of Mobility Enhancement Technologies for 5G-Advanced Non-Terrestrial Networks (NTN); [5G-Advanced 비지상 네트워크의 이동성 향상 기술 개요]","2025","Journal of Korean Institute of Communications and Information Sciences","50","12","","1846","1854","0","10.7840/kics.2025.50.12.1846","https://www.scopus.com/pages/publications/105026878633?origin=resultslist","This paper analyzes and describes the mobility enhancement technologies standardized in 3GPP Release 18, corresponding to the 5G-Advanced specifications, for Non-Terrestrial Networks (NTNs). In particular, it provides a detailed discussion of key technologies such as NTN-TN mobility, RACH-less handover in NTN environments, satellite switch with re-synchronization, cell measurement methods and triggering events in moving-cell scenarios, and conditional handover enhancements. Furthermore, the paper examines the improvements introduced compared to previous Releases, and explains the concepts, protocol procedures, and future development directions of each technology. © 2025, Journal of Korean Institute of Communications and Information Sciences. All rights reserved.","","Article","Final","","Scopus","2-s2.0-105026878633"
"Lema G.G.; Lagunas E.; Bhavani Shankar M.R.; Grotz J.","Lema, Gebrehiwet Gebrekrstos (57189346295); Lagunas, Eva (35220030400); Bhavani Shankar, M.R. (6507305657); Grotz, Joel (17433866000)","57189346295; 35220030400; 6507305657; 17433866000","Time Modulated Arrays Beamforming for Non-Terrestrial Network User Terminal","2025","IEEE Open Journal of the Communications Society","6","","","271","287","3","10.1109/OJCOMS.2024.3522519","https://www.scopus.com/pages/publications/85213476841?origin=resultslist","Though beamforming is the fundamental element of satellite communication, it incurs costs, complexity, and power consumption. In this paper, we study a Time-Modulated Array (TMA) beamforming design on the Non-Terrestrial Network (NTN) User Terminal (UT) to receive a signal from a Low Earth Orbit (LEO) satellite downlink. Despite its simplicity and cost-effectiveness, conventional TMA has intrinsic gain, flexibility, and interference limitations. We compared TMA beamforming with the conventional phased array and studied a tri-state switching method to address the TMA limitations. Based on the 3GPP beam pattern, we studied the beamforming cost and complexity to achieve a viable Signal-To-Noise Plus Interference Ratio (SINR). To facilitate low-cost TMA beamforming, we first derive the Direction of Arrival (DoA) to the TMA switching parameters mapping. Subsequently, we formulate a constrained nonlinear multi-variable problem and solve it using iterative optimization based on perfect DoA. Additionally, we use an analytical approach to suppress sidelobes and unused harmonics using alternating switching. Furthermore, we develop an Alternating Direction Method of Multipliers (ADMM) and Adaptive Switching Parameters Control (ASPC) methods to design TMA beamforming based on a beacon signal. We compare TMA and phased array beamforming techniques, confirming the promising performance of TMA with reduced cost, complexity, and power consumption.  © 2020 IEEE.","Adaptive control systems; Amplitude shift keying; Beam forming networks; Beamforming; Constrained optimization; Cost reduction; Forward error correction; Frequency division multiple access; Image thinning; Network coding; Phase shift keying; Satellite communication systems; Static Var compensators; Array beamforming; Directionof-arrival (DOA); Network users; Non-terrestrial network user terminal; Phased-arrays; Power; Satellite communications; Terrestrial networks; Time modulated arrays; User terminals; Signal to noise ratio","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85213476841"
"Oishi R.M.N.; Minucci F.; Carrillo Y.L.; Bovet G.; Pollin S.","Oishi, Raquel Marina Noguera (59379687600); Minucci, Franco (25930501000); Carrillo, Yago Lizarribar (57210785859); Bovet, Gerome (55804611600); Pollin, Sofie (8601601500)","59379687600; 25930501000; 57210785859; 55804611600; 8601601500","Timing Evaluation of Energy-Based Packet Detection Algorithms on SDRs for Spectrum Sensing Applications","2025","2025 16th IFIP Wireless and Mobile Networking Conference, WMNC 2025 - Proceedings","","","","9","16","0","10.23919/WMNC67099.2025.11299265","https://www.scopus.com/pages/publications/105032353972?origin=resultslist","With the increasing interest in non-terrestrial networks, spectrum sensing at various altitudes has become an active area of research, particularly in understanding how spectrum occupancy differs from ground level. High-altitude balloon platforms offer a cost-effective and promising solution for collecting wide-area spectrum data at different elevations. However, their limited processing power and storage impose strict constraints on real-time signal detection and timestamping, crucial for applications such as signal localisation, interference mapping, or dynamic spectrum sharing.This paper presents an initial study towards developing a compact, low-power spectrum sensing probe for high-altitude balloons. We focus on one of the key technical challenges: accurately detecting radio transmissions and assigning precise timestamps using energy-based methods. Specifically, we evaluate and compare the performance of two energy-based packet detection algorithms (the single sliding window and the double sliding window) in terms of their timing accuracy and computational complexity using the USRP E320 platform. To validate signal-agnosticism, we assess detection performance across three diverse signal types (OFDM, ADS-B, and GFSK). We isolate and characterise the intrinsic error introduced by different timing error sources, independently of other system delays, offering a clear benchmark of achievable accuracy. Our analysis reveals the trade-offs between detection reliability, timestamping precision, and implementation cost, providing a baseline for the design of future high-altitude probes for spectrum sensing. © 2025 IFIP.","Application programs; Cost effectiveness; Mobile telecommunication systems; Probes; Radio broadcasting; Radio transmission; Signal detection; Signal receivers; Software radio; Energy detection; Energy-based; High-altitude balloons; Packet detection algorithms; Sensing applications; Software-defined radios; Spectrum sensing; Terrestrial networks; Time-stamp; Timestamping; Economic and social effects","Conference paper","Final","","Scopus","2-s2.0-105032353972"
"Soderi S.; Casini E.; Conti M.","Soderi, Simone (56027760800); Casini, Enirco (60572337100); Conti, Mauro (15019127200)","56027760800; 60572337100; 15019127200","Securing Satellite Key Distribution via Covert Channels: A Cooperative Jamming and Watermarking Approach","2025","2025 Security for Space Systems, 3S 2025 - Conference Proceedings","","","","","","0","","https://www.scopus.com/pages/publications/105035391727?origin=resultslist","As Non-Terrestrial Networks (NTNs) move toward integration with 6G infrastructures, Low Earth Orbit (LEO) satellite constellations become central to delivering ubiquitous global connectivity. Recent cyberattacks targeting space systems and the rapid expansion of LEO satellite technology have heightened the need to address emerging vulnerabilities and design robust countermeasures. To this end, we propose a novel data link–layer security scheme combining cooperative jamming with watermark-based covert signaling, specifically developed to facilitate secure key distribution in satellite communications. Our approach leverages a Low Probability of Intercept (LPI) covert channel to securely communicate frame indices designated for intentional obfuscation through friendly jamming. Concurrently, a spread-spectrum watermark embedded within the payload enables authorized receivers to efficiently recover jammed bits without the overhead of frequent cryptographic rekeying. The proposed solution integrates seamlessly into existing CCSDS-compliant satellite protocols, ensuring backward compatibility and minimal hardware disruption. Numerical simulations, including detailed Free Space Optical (FSO) link budget analyses, demonstrate robust secrecy performance, significantly mitigating risks of eavesdropping and man-in-the-middle attacks. Utilizing a shared spreading code, this watermarked cooperative-jamming approach provides a secure, agile, and resource-efficient method suitable for future satellite networks. © 2025 IEEE. All Rights Reserved.","Communication satellites; Cooperative communication; Cryptography; Digital watermarking; Jamming; Network security; Orbits; Satellite communication systems; Security systems; Cooperative jamming; Covert channels; Free-space optical; ISL; Key distribution; Low earth orbit satellites; Satellite communications; Security; Terrestrial networks; Toward integration; Watermarking","Conference paper","Final","","Scopus","2-s2.0-105035391727"
"Haile Y.S.; Yetneberk Z.M.; Jadoon Z.; Alshawabkah A.A.; Chewiecha G.A.; Zheng T.-X.","Haile, Yidnekachew Solomon (60568430700); Yetneberk, Zenebe Melesew (57347007000); Jadoon, Zeeshan (57221224571); Alshawabkah, Almo'Tasem Ali (60568430800); Chewiecha, Genet Amde (60568889500); Zheng, Tong-Xing (55771505100)","60568430700; 57347007000; 57221224571; 60568430800; 60568889500; 55771505100","Secure Multi-Beam Satellite Systems Using Adaptive Beamforming for 6G Communications","2025","Proceedings - 2025 International Conference on Computer, Internet of Things and Smart City, CIoTSC 2025","","","","","","0","10.1109/CIoTSC67482.2025.11413054","https://www.scopus.com/pages/publications/105035145132?origin=resultslist","Securing satellite communication systems for sixth-generation (6G) networks is a significant challenge owing to the broadcast nature of satellite channels. Existing physical-layer security (PLS) methods, such as traditional beamforming and cryptographic techniques, do not provide efficient real-time solutions for dynamic resource-constrained satellite links. To address this gap, we propose a novel approach that combines direction-of-arrival (DoA) estimation using multiple signal classification (MUSIC) and Min-Norm algorithms with adaptive beamforming techniques, specifically least mean squares (LMS) and recursive least squares (RLS) algorithms. Our method dynamically adjusts the beam patterns to enhance the secrecy capacity while minimizing interference to eavesdroppers (Eve) in multibeam satellite systems. Simulation results show that the LMS algorithm achieves superior secrecy capacity and null depth, whereas the RLS algorithm converges faster under time-varying conditions. This paper demonstrates that adaptive beamforming techniques can significantly improve the PLS of satellite links, providing an efficient and scalable solution for 6G non-terrestrial networks (NTNs). © 2025 IEEE.","Beam forming networks; Beamforming; Communication satellites; Computer music; Cryptography; Multibeam antennas; Network layers; Satellite antennas; Satellite links; Adaptive beam-forming; Adaptive beamforming techniques; Holographic antenna; Least mean squares; Multi-beam satellite systems; Physical layer security; Recursive Least Square algorithm; Recursive least squares; Satellite communications; Secrecy capacity; Satellite communication systems","Conference paper","Final","","Scopus","2-s2.0-105035145132"
"Del Prever P.B.; Testolina P.; Masihi A.; Petrushkevich S.; Polese M.; Melodia T.; Jornet J.M.","Del Prever, Pietro Brach (58728562300); Testolina, Paolo (57215812823); Masihi, Ahmad (57872982100); Petrushkevich, Sergey (57796099800); Polese, Michele (57190585567); Melodia, Tommaso (6602320889); Jornet, Josep M. (26029396500)","58728562300; 57215812823; 57872982100; 57796099800; 57190585567; 6602320889; 26029396500","Pointing-Error-Induced Fading in an Open-Loop THz Uplink with Hardware Impairments","2025","Proceedings - IEEE Military Communications Conference MILCOM","","","","245","250","0","10.1109/MILCOM64451.2025.11309975","https://www.scopus.com/pages/publications/105031780379?origin=resultslist","We analyze the open-loop mechanical tracking performance of a sub-Terahertz (sub-THz) and Terahertz (THz) uplink communication system. These high-frequency bands en-able multi-gigabit links through large bandwidths and narrow beams, but require precise pointing to overcome spreading loss. A tracking system can be used to orient horn antennas toward mobile targets. We develop a mathematical model that captures the mechanical dynamics of a real tracking system, which includes motion latency and acceleration and velocity limits, to quantify pointing errors during satellite passes and integrate these effects into the link budget. We evaluate the trade-offs between beam directionality and pointing tolerance across different Low Earth Orbit (LEO) satellite trajectories and control strategies. The results link the hardware limitations to the communications performance, providing design guidelines for high-frequency Non-Terrestrial Network (NTN) uplink under practical mechanical constraints.  © 2025 IEEE.","Budget control; Computer hardware; Dynamics; Errors; Fading (radio); Mobile telecommunication systems; Motion tracking; Optical communication; Orbits; Tracking (position); Fading; Mechanical tracking; Non-terrestrial network; Open-loop; Pointing errors; Sub-terahertz; Tera Hertz; Terrestrial networks; Tracking performance; Tracking system; Economic and social effects","Conference paper","Final","","Scopus","2-s2.0-105031780379"
"Xu K.; Long K.; Lu Y.; Zhang H.","Xu, Kexin (58173992600); Long, Keping (7201656656); Lu, Yang (55803922900); Zhang, Haijun (57189345966)","58173992600; 7201656656; 55803922900; 57189345966","Joint Secure Transmission and Trajectory Optimization for Reconfigurable Intelligent Surface-aided Non-Terrestrial Networks; [可重构智能超表面辅助的非地面网络安全传输与轨迹优化]","2025","Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology","47","2","","296","304","1","10.11999/JEIT240981","https://www.scopus.com/pages/publications/105000385308?origin=resultslist","Objective The proliferation of technologies such as the Internet of Things, smart cities, and next-generation mobile communications has made Non-Terrestrial Networks (NTNs) increasingly important for global communication. Future communication systems are expected to rely heavily on NTNs to provide seamless global coverage and efficient data transmission. However, current NTNs face challenges, including limited coverage and link quality in direct satellite-to-ground user connections, as well as eavesdropping threats. To address these challenges, a system integrating Reconfigurable Intelligent Surfaces (RIS) with a twin-layer Deep Reinforcement Learning (DRL) algorithm is proposed. This approach aims to satisfy the system’s requirements for high transmission rates and enhanced security, improving the signal strength for legitimate users while facilitating real-time updates and optimization of channel state information in NTNs. Methods First, an RIS-aided downlink NTNs system using an Unmanned Aerial Vehicle (UAV) as a relay is established. To balance the system’s transmission rate and security requirements, the weighted sum of the satellite-to-UAV transmission rate and the secure rate of the legitimate ground user is designed as the system utility, which serves as the optimization objective. A joint optimization method based on the Twin-Twin Delayed Deep Deterministic Policy Gradient (TTD3) algorithm is then proposed. This method jointly optimizes satellite and UAV beamforming, the RIS phase shift matrix, and UAV trajectory. The algorithm divides the optimization problem into two layers for solution. The first-layer DRL optimizes satellite and UAV beamforming, as well as the RIS phase shift matrix. The second-layer DRL optimizes the UAV’s trajectory based on its position, user mobility, and channel state information. The twin DRL shares the same reward function, guiding the agents in each layer to adjust their actions and explore optimal strategies, ultimately enhancing the system’s utility. Results and Discussions (1) Compared to the Deep Deterministic Policy Gradient (DDPG), the proposed TTD3 algorithm exhibits smaller dynamic fluctuations, demonstrating greater stability and robustness (Fig. 2). (2) The UAV trajectory and user secrecy rate performance under four different schemes and algorithms show that the proposed method balances service for legitimate users. The UAV trajectory is smoother compared to that based on DDPG, and the overall user secrecy rate is also higher. This confirms that the proposed method can adapt to dynamically changing NTNs environments while improving user secrecy rates (Fig. 3, Fig. 4). (3) As the number of RIS reflecting elements increases, the degrees of freedom and precision of beamforming improve. Therefore, the overall user secrecy rates of different algorithms increase, resulting in enhanced system performance (Fig. 5). Conclusions This paper investigates an RIS-assisted downlink secure transmission system for NTNs, addressing the presence of eavesdropping threats. To meet the requirements of high transmission rates and security across different scenarios, the optimization objective is formulated as the weighted sum of the transmission rate from the satellite to the UAV and the secrecy rate of legitimate ground users. A TTD3-based joint optimization method for satellite and UAV beamforming, RIS phase shift matrix, and UAV trajectory is proposed. By adopting a twin-layer DRL structure, the beamforming and trajectory optimization subproblems are decoupled to maximize system utility. Simulation results validate the effectiveness of the proposed algorithm. Additionally, comparisons across different algorithms, RIS element counts, and schemes in high-security-demand scenarios demonstrate that the TTD3 algorithm is well-suited for dynamically changing NTNs environments and can significantly enhance system transmission performance. Future research will explore integrating emerging technologies, such as federated learning and meta-learning, to achieve distributed, low-latency policy optimization, thereby facilitating network resource optimization and interference analysis in large-scale, multi-satellite, and multi-UAV complex scenarios. © 2025 Science Press. All rights reserved.","Aircraft communication; Amplitude modulation; Antenna grounds; Authentication; Beam forming networks; Data communication systems; Deep learning; Deep reinforcement learning; Digital communication systems; Femtocell; Frequency allocation; Frequency division multiplexing; Frequency selective fading; Global system for mobile communications; HDCP; Interlocking signals; Linear programming; Markov processes; Matrix algebra; Medium access control; Nonlinear programming; Rayleigh fading; Reinforcement learning; Satellite communication systems; Satellite links; Satellite relay systems; Stochastic programming; Aerial vehicle; Deep reinforcement learning; Non-terrestrial network; Reconfigurable; Reconfigurable intelligent surface; Reinforcement learnings; Secure transmission; Terrestrial networks; Transmission rates; Vehicle trajectories; Unmanned aerial vehicles (UAV)","Article","Final","","Scopus","2-s2.0-105000385308"
"Do T.H.; Nguyen T.V.; Le H.D.; Dang N.T.; Pham A.T.","Do, Tien H. (59705157200); Nguyen, Thang V. (58263626200); Le, Hoang D. (57336419400); Dang, Ngoc T. (7006444540); Pham, Anh T. (7006125335)","59705157200; 58263626200; 57336419400; 7006444540; 7006125335","DRL-Based Trajectory Design for Laser-Powered UAV-Aided Hybrid FSO/sub-THz Systems","2026","IEEE Access","14","","","27091","27107","0","10.1109/ACCESS.2026.3665403","https://www.scopus.com/pages/publications/105031126364?origin=resultslist","Non-terrestrial networks (NTNs), incorporating uncrewed aerial vehicles (UAVs) and optical base stations (OBSs), are emerging as a key architectural component for the Sixth Generation (6G) wireless networks, particularly in supporting a wide range of vehicular services in the Internet of Vehicles (IoV). In parallel, free-space optical (FSO) and sub-terahertz (sub-THz) communications are expected to play a central role in 6G due to their abundant spectrum resources. However, the deployment of UAV-assisted vehicular services faces significant challenges, as highly dynamic vehicle mobility and time-varying atmospheric turbulence introduce severe link fluctuations and reliability issues. A hybrid FSO/sub-THz communication link is a potential solution to this problem by enhancing link reliability and service continuity, but it necessitates an intelligent and adaptive switching mechanism. To address this, we propose a deep reinforcement learning (DRL) algorithm that integrates both hard-switching and soft-switching mechanisms to guarantee the UAV-supported quality-of-service (QoS) through real-time trajectory and link optimization. The hybrid FSO/sub-THz link is modeled by considering atmospheric attenuation, fading, pointing errors, blockage by buildings, and weather conditions. Simulation results indicate that the trained UAV can effectively learn from the dynamic environment and maintain robust performance using the proposed DRL-based approach. © 2013 IEEE.","Adaptive optics; Antennas; Atmospheric turbulence; Base stations; Deep learning; Distributed computer systems; Fiber optic networks; Optical communication; Quality of service; Telecommunication links; Telecommunication services; Unmanned aerial vehicles (UAV); Wireless networks; Aerial vehicle; Deep reinforcement learning; Energy; Free-space optic; Freespace optics; Hybrid free-space optic/RF system; Link switching mechanism; Optical base station; Optical-; Reinforcement learnings; RF system; Sub-terahertz; Switching mechanism; Unmanned aerial vehicle; Energy harvesting","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031126364"
